 0.191  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.192  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.193  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.194  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.195  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.196  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.197  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.198  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.199  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.200  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.201  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.202  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.203  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.204  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.205  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.206  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.207  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.208  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.209  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.210  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.211  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.212  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.213  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.214  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.215  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.216  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.217  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.218  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.219  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.220  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.221  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.222  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.223  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.224  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.225  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.226  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.227  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.228  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.229  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.230  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.231  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.232  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.233  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.234  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.235  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.236  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.237  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.238  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.239  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.240  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.241  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.242  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.243  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.244  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.245  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.246  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.247  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.248  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.249  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.250  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.251  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.252  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.253  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.254  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.255  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.256  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.257  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.258  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.259  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.260  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.261  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.262  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.263  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.264  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.265  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.266  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.267  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.268  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.269  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.270  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.271  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.272  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.273  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.274  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.275  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.276  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.277  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.278  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.279  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.280  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.281  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.282  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.283  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.284  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.285  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.286  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.287  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.288  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.289  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.290  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.291  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.292  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.293  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.294  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.295  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.296  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.297  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.298  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.299  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.300  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.301  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.302  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.303  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.304  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.305  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.306  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.307  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.308  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.309  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.310  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.311  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.312  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.313  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.314  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.315  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.316  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.317  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.318  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.319  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.320  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.321  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.322  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.323  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.324  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.325  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.326  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.327  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.328  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.329  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.330  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.331  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.332  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.333  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.334  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.335  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.336  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.337  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.338  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.339  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.340  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.341  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.342  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.343  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.344  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.345  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.346  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.347  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.348  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.349  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
